institution,state,division,year,partic_total,recruit_total,recruit_per_athlete,aid_total,aid_per_athlete,vs_division_median
Cabrillo College,CA,2-Year (JUCO),2024,223,0,0.0,0,0.0,0.0
California Baptist University,CA,NCAA D1 (No Football),2024,430,374030,869.8372093023256,10658063,24786.193023255815,1.1122613174911036
California Institute of Technology,CA,NCAA D3,2024,263,104029,395.54752851711027,0,0.0,3.499893414718962
California Lutheran University,CA,NCAA D3,2024,581,64042,110.22719449225474,0,0.0,0.9753149857178307
California Polytechnic State University-San Luis Obispo,CA,NCAA D1 (FCS),2024,677,681363,1006.4446085672083,8130763,12009.98966026588,1.4278379185486383
California State University-Bakersfield,CA,NCAA D1 (No Football),2024,350,253949,725.5685714285714,3846081,10988.802857142857,0.9277849309695232
California State University-Stanislaus,CA,NCAA D2,2024,271,23114,85.29151291512915,943273,3480.712177121771,0.6793103765962024
California State University-San Bernardino,CA,NCAA D2,2024,222,36927,166.33783783783784,1361723,6133.887387387387,1.3248096487191803
California State Polytechnic University-Pomona,CA,NCAA D2,2024,266,24367,91.60526315789474,1500571,5641.244360902256,0.7295966935878508
California State University-Chico,CA,NCAA D2,2024,312,21641,69.36217948717949,802483,2572.0608974358975,0.5524400571467801
California State University-Dominguez Hills,CA,NCAA D2,2024,221,19949,90.26696832579185,903495,4088.212669683258,0.718937748338548
California State University-Fresno,CA,NCAA D1 (FBS),2024,456,1124862,2466.8026315789475,8053470,17661.11842105263,0.685540075221765
California State University-Fullerton,CA,NCAA D1 (No Football),2024,348,206405,593.1178160919541,4577597,13154.014367816091,0.7584200773418434
California State University-East Bay,CA,NCAA D2,2024,254,79906,314.59055118110234,1416819,5578.027559055118,2.505579025302226
California State University-Long Beach,CA,NCAA D1 (No Football),2024,369,291303,789.439024390244,3955108,10718.449864498645,1.0094561142670087
California State University-Los Angeles,CA,NCAA D2,2024,262,19608,74.83969465648855,1401247,5348.270992366412,0.5960661198732947
California State University-Northridge,CA,NCAA D1 (No Football),2024,315,263560,836.6984126984127,4547844,14437.6,1.0698867200646478
California State University-Sacramento,CA,NCAA D1 (FCS),2024,514,291961,568.0175097276265,7259926,14124.369649805447,0.8058435922701013
University of California-Berkeley,CA,NCAA D1 (FBS),2024,918,3866291,4211.645969498911,23138879,25205.75054466231,1.1704430900860756
University of California-Davis,CA,NCAA D1 (FCS),2024,681,539135,791.6813509544787,10999510,16151.997063142438,1.1231543620764814
University of California-Irvine,CA,NCAA D1 (No Football),2024,358,262805,734.0921787709498,6028469,16839.298882681564,0.9386840723617552
University of California-Los Angeles,CA,NCAA D1 (FBS),2024,683,3500798,5125.619326500732,19129205,28007.620790629575,1.4244420747996063
University of California-Riverside,CA,NCAA D1 (No Football),2024,308,136213,442.25,4394745,14268.652597402597,0.5655053180065488
University of California-San Diego,CA,NCAA D1 (No Football),2024,563,447528,794.898756660746,6390847,11351.415630550622,1.0164374769213012
University of California-Santa Barbara,CA,NCAA D1 (No Football),2024,488,770104,1578.0819672131147,6574572,13472.483606557376,2.017894278596388
University of California-Santa Cruz,CA,NCAA D3,2024,312,35405,113.4775641025641,0,0.0,1.0040749864114826
California State University Maritime Academy,CA,NAIA,2024,230,6429,27.952173913043477,124759,542.4304347826087,0.4475686333375255
Canada College,CA,2-Year (JUCO),2024,98,0,0.0,0,0.0,0.0
College of the Canyons,CA,2-Year (JUCO),2024,300,0,0.0,0,0.0,0.0
Cerritos College,CA,2-Year (JUCO),2024,584,0,0.0,0,0.0,0.0
Cerro Coso Community College,CA,2-Year (JUCO),2024,111,6769,60.98198198198198,0,0.0,6.404175470686556
Chabot College,CA,2-Year (JUCO),2024,331,0,0.0,0,0.0,0.0
Chaffey College,CA,2-Year (JUCO),2024,383,0,0.0,0,0.0,0.0
Chapman University,CA,NCAA D3,2024,595,20595,34.61344537815126,0,0.0,0.3062675425981982
Concordia University-Irvine,CA,NCAA D2,2024,548,27267,49.75729927007299,4638046,8463.587591240876,0.39629558147476146
Citrus College,CA,2-Year (JUCO),2024,340,0,0.0,0,0.0,0.0
City College of San Francisco,CA,2-Year (JUCO),2024,235,0,0.0,0,0.0,0.0
Claremont McKenna College,CA,NCAA D3,2024,534,109814,205.6441947565543,0,0.0,1.8195860449486148
Columbia College,CA,2-Year (JUCO),2024,26,0,0.0,0,0.0,0.0
Compton College,CA,2-Year (JUCO),2024,219,6000,27.397260273972602,0,0.0,2.8771918607439138
Contra Costa College,CA,2-Year (JUCO),2024,126,2083,16.53174603174603,0,0.0,1.736122687114519
Cosumnes River College,CA,2-Year (JUCO),2024,182,0,0.0,0,0.0,0.0
Crafton Hills College,CA,2-Year (JUCO),2024,56,0,0.0,0,0.0,0.0
Cuesta College,CA,2-Year (JUCO),2024,230,0,0.0,0,0.0,0.0
Cuyamaca College,CA,2-Year (JUCO),2024,164,0,0.0,0,0.0,0.0
Cypress College,CA,2-Year (JUCO),2024,236,0,0.0,0,0.0,0.0
De Anza College,CA,2-Year (JUCO),2024,282,0,0.0,0,0.0,0.0
College of the Desert,CA,2-Year (JUCO),2024,240,0,0.0,0,0.0,0.0
Diablo Valley College,CA,2-Year (JUCO),2024,334,0,0.0,0,0.0,0.0
Dominican University of California,CA,NCAA D2,2024,275,56559,205.6690909090909,2028440,7376.145454545454,1.6380662368913212
East Los Angeles College,CA,2-Year (JUCO),2024,381,0,0.0,0,0.0,0.0
El Camino Community College District,CA,2-Year (JUCO),2024,418,0,0.0,0,0.0,0.0
Evergreen Valley College,CA,2-Year (JUCO),2024,49,0,0.0,0,0.0,0.0
Feather River Community College District,CA,2-Year (JUCO),2024,254,18000,70.86614173228347,13000,51.181102362204726,7.442185246097447
Foothill College,CA,2-Year (JUCO),2024,184,0,0.0,0,0.0,0.0
Fresno City College,CA,2-Year (JUCO),2024,420,0,0.0,0,0.0,0.0
Fresno Pacific University,CA,NCAA D2,2024,366,32351,88.39071038251366,3549719,9698.685792349726,0.7039941572768184
Fullerton College,CA,2-Year (JUCO),2024,407,0,0.0,0,0.0,0.0
Gavilan College,CA,2-Year (JUCO),2024,154,0,0.0,0,0.0,0.0
Glendale Community College,CA,2-Year (JUCO),2024,378,0,0.0,0,0.0,0.0
Golden West College,CA,2-Year (JUCO),2024,368,0,0.0,0,0.0,0.0
Grossmont College,CA,2-Year (JUCO),2024,281,0,0.0,0,0.0,0.0
Hartnell College,CA,2-Year (JUCO),2024,327,0,0.0,0,0.0,0.0
California State Polytechnic University-Humboldt,CA,NCAA D2,2024,310,163023,525.8806451612903,1488838,4802.703225806452,4.1884141446130085
Imperial Valley College,CA,2-Year (JUCO),2024,140,0,0.0,0,0.0,0.0
Irvine Valley College,CA,2-Year (JUCO),2024,200,0,0.0,0,0.0,0.0
Reedley College,CA,2-Year (JUCO),2024,266,33960,127.66917293233082,0,0.0,13.407497740851545
Life Pacific University,CA,NAIA,2024,103,9466,91.90291262135922,505592,4908.660194174758,1.471544257331832
University of La Verne,CA,NCAA D3,2024,421,0,0.0,0,0.0,0.0
Lake Tahoe Community College,CA,2-Year (JUCO),2024,57,10398,182.42105263157896,0,0.0,19.15740342688694
Laney College,CA,2-Year (JUCO),2024,146,0,0.0,0,0.0,0.0
Lassen Community College,CA,2-Year (JUCO),2024,151,4863,32.205298013245034,0,0.0,3.3821199780537374
La Sierra University,CA,NAIA,2024,237,0,0.0,974705,4112.679324894515,0.0
Long Beach City College,CA,2-Year (JUCO),2024,429,0,0.0,0,0.0,0.0
Los Angeles Harbor College,CA,2-Year (JUCO),2024,171,0,0.0,0,0.0,0.0
Los Angeles Pierce College,CA,2-Year (JUCO),2024,223,0,0.0,0,0.0,0.0
Los Angeles Southwest College,CA,2-Year (JUCO),2024,86,15000,174.41860465116278,0,0.0,18.31700632275922
Los Angeles Trade Technical College,CA,2-Year (JUCO),2024,29,10769,371.3448275862069,0,0.0,38.99770651430411
Los Angeles Valley College,CA,2-Year (JUCO),2024,248,0,0.0,0,0.0,0.0
The Master's University and Seminary,CA,NAIA,2024,299,29191,97.62876254180603,3472309,11613.073578595318,1.5632262435545317
Los Angeles City College,CA,2-Year (JUCO),2024,81,0,0.0,0,0.0,0.0
Los Angeles Mission College,CA,2-Year (JUCO),2024,157,0,0.0,0,0.0,0.0
Los Medanos College,CA,2-Year (JUCO),2024,163,0,0.0,0,0.0,0.0
Loyola Marymount University,CA,NCAA D1 (No Football),2024,296,710326,2399.75,11856442,40055.5472972973,3.0685616436093057
College of Marin,CA,2-Year (JUCO),2024,141,0,0.0,0,0.0,0.0
Mendocino College,CA,2-Year (JUCO),2024,129,0,0.0,0,0.0,0.0
Menlo College,CA,NCAA D2,2024,329,51067,155.21884498480244,4318512,13126.176291793314,1.236251632051309
Merced College,CA,2-Year (JUCO),2024,283,0,0.0,0,0.0,0.0
Merritt College,CA,2-Year (JUCO),2024,85,0,0.0,0,0.0,0.0
MiraCosta College,CA,2-Year (JUCO),2024,108,0,0.0,0,0.0,0.0
Mission College,CA,2-Year (JUCO),2024,13,0,0.0,0,0.0,0.0
Modesto Junior College,CA,2-Year (JUCO),2024,379,0,0.0,0,0.0,0.0
Monterey Peninsula College,CA,2-Year (JUCO),2024,226,0,0.0,0,0.0,0.0
Moorpark College,CA,2-Year (JUCO),2024,355,0,0.0,0,0.0,0.0
Mt San Antonio College,CA,2-Year (JUCO),2024,625,0,0.0,0,0.0,0.0
Mt San Jacinto Community College District,CA,2-Year (JUCO),2024,232,5899,25.426724137931036,0,0.0,2.6702510763288134
Napa Valley College,CA,2-Year (JUCO),2024,116,0,0.0,0,0.0,0.0
Occidental College,CA,NCAA D3,2024,374,69049,184.62299465240642,0,0.0,1.6335857428109308
Ohlone College,CA,2-Year (JUCO),2024,186,0,0.0,0,0.0,0.0
Orange Coast College,CA,2-Year (JUCO),2024,527,0,0.0,0,0.0,0.0
Oxnard College,CA,2-Year (JUCO),2024,150,0,0.0,0,0.0,0.0
Hope International University,CA,NAIA,2024,315,45000,142.85714285714286,6723217,21343.54603174603,2.287420520134899
Pacific Union College,CA,NAIA,2024,136,80000,588.2352941176471,1073312,7892.0,9.418790377026056
University of the Pacific,CA,NCAA D1 (No Football),2024,334,474873,1421.7754491017963,7558608,22630.562874251496,1.8180250480004863
Palo Verde College,CA,2-Year (JUCO),2024,21,2400,114.28571428571429,0,0.0,12.0020003333889
Palomar College,CA,2-Year (JUCO),2024,391,0,0.0,0,0.0,0.0
Pasadena City College,CA,2-Year (JUCO),2024,318,0,0.0,0,0.0,0.0
Pepperdine University,CA,NCAA D1 (No Football),2024,322,596844,1853.552795031056,10865811,33744.75465838509,2.3701389774922887
Pitzer College,CA,NCAA D3,2024,542,76947,141.96863468634686,0,0.0,1.2561703810870708
Point Loma Nazarene University,CA,NCAA D2,2024,215,69219,321.9488372093023,3403258,15829.106976744186,2.5641846225307923
Pomona College,CA,NCAA D3,2024,542,76947,141.96863468634686,0,0.0,1.2561703810870708
Porterville College,CA,2-Year (JUCO),2024,155,0,0.0,0,0.0,0.0
Santa Ana College,CA,2-Year (JUCO),2024,284,0,0.0,0,0.0,0.0
University of Redlands,CA,NCAA D3,2024,561,95346,169.9572192513369,0,0.0,1.503819666556127
College of the Redwoods,CA,2-Year (JUCO),2024,241,0,0.0,0,0.0,0.0
Rio Hondo College,CA,2-Year (JUCO),2024,196,0,0.0,0,0.0,0.0
Riverside City College,CA,2-Year (JUCO),2024,433,0,0.0,0,0.0,0.0
Sacramento City College,CA,2-Year (JUCO),2024,320,0,0.0,0,0.0,0.0
Saddleback College,CA,2-Year (JUCO),2024,355,0,0.0,0,0.0,0.0
San Diego City College,CA,2-Year (JUCO),2024,171,0,0.0,0,0.0,0.0
San Diego Mesa College,CA,2-Year (JUCO),2024,414,0,0.0,0,0.0,0.0
San Diego Miramar College,CA,2-Year (JUCO),2024,97,0,0.0,0,0.0,0.0
San Diego State University,CA,NCAA D1 (FBS),2024,466,1510132,3240.6266094420603,11111128,23843.622317596568,0.900590659813176
University of San Diego,CA,NCAA D1 (FCS),2024,474,485902,1025.1097046413502,9749077,20567.67299578059,1.4543179967378925
San Francisco State University,CA,NCAA D2,2024,260,34225,131.6346153846154,711845,2737.8653846153848,1.0484133425912971
University of San Francisco,CA,NCAA D1 (No Football),2024,223,450557,2020.4349775784754,9536396,42764.107623318385,2.583531316013725
San Joaquin Delta College,CA,2-Year (JUCO),2024,290,0,0.0,5750,19.82758620689655,0.0
William Jessup University,CA,NCAA D2,2024,342,32441,94.85672514619883,1998408,5843.298245614035,0.7554931959744475
San Jose City College,CA,2-Year (JUCO),2024,156,0,0.0,0,0.0,0.0
San Jose State University,CA,NCAA D1 (FBS),2024,484,509471,1052.6260330578511,9219564,19048.685950413223,0.29253144156935473
College of San Mateo,CA,2-Year (JUCO),2024,254,5875,23.12992125984252,0,0.0,2.429046573379028
Santa Barbara City College,CA,2-Year (JUCO),2024,332,0,0.0,0,0.0,0.0
Santa Clara University,CA,NCAA D1 (No Football),2024,396,624010,1575.7828282828282,9290191,23460.078282828283,2.014954368382905
Santa Monica College,CA,2-Year (JUCO),2024,372,0,0.0,0,0.0,0.0
Santa Rosa Junior College,CA,2-Year (JUCO),2024,392,0,0.0,0,0.0,0.0
College of the Sequoias,CA,2-Year (JUCO),2024,368,0,0.0,0,0.0,0.0
Shasta College,CA,2-Year (JUCO),2024,297,974,3.2794612794612794,0,0.0,0.34440083448251474
Sierra College,CA,2-Year (JUCO),2024,391,0,0.0,0,0.0,0.0
Simpson University,CA,NAIA,2024,408,53637,131.46323529411765,11747687,28793.350490196077,2.1049819143856108
College of the Siskiyous,CA,2-Year (JUCO),2024,208,0,0.0,0,0.0,0.0
Skyline College,CA,2-Year (JUCO),2024,190,0,0.0,0,0.0,0.0
San Bernardino Valley College,CA,2-Year (JUCO),2024,235,0,0.0,0,0.0,0.0
Saint Mary's College of California,CA,NCAA D1 (No Football),2024,341,493431,1447.0117302052786,8929744,26186.93255131965,1.8502946945142849
Solano Community College,CA,2-Year (JUCO),2024,131,71871,548.6335877862596,0,0.0,57.616129405791554
Sonoma State University,CA,NCAA D2,2024,227,19865,87.51101321585904,992695,4373.105726872247,0.6969877460508221
Vanguard University of Southern California,CA,NCAA D2,2024,416,37599,90.38221153846153,2905710,6984.879807692308,0.7198556111776877
Southwestern College,CA,2-Year (JUCO),2024,332,0,0.0,0,0.0,0.0
University of Southern California,CA,NCAA D1 (FBS),2024,629,6783390,10784.403815580286,28643971,45538.90461049285,2.997054125170366
Taft College,CA,2-Year (JUCO),2024,136,3601,26.477941176470587,0,0.0,2.780647264740202
Ventura College,CA,2-Year (JUCO),2024,425,0,0.0,0,0.0,0.0
Victor Valley College,CA,2-Year (JUCO),2024,270,0,0.0,0,0.0,0.0
Coalinga College,CA,2-Year (JUCO),2024,145,0,0.0,0,0.0,0.0
West Los Angeles College,CA,2-Year (JUCO),2024,226,0,0.0,0,0.0,0.0
West Valley College,CA,2-Year (JUCO),2024,192,0,0.0,0,0.0,0.0
Westmont College,CA,NCAA D2,2024,319,33312,104.42633228840126,2285238,7163.755485893417,0.8317110189378637
Whittier College,CA,NCAA D3,2024,290,19073,65.76896551724138,0,0.0,0.5819385856602931
Yuba College,CA,2-Year (JUCO),2024,193,0,0.0,0,0.0,0.0
Adams State University,CO,NCAA D2,2024,671,54335,80.97615499254843,2311062,3444.2056631892697,0.6449403986776172
University of Colorado Colorado Springs,CO,NCAA D2,2024,350,24493,69.98,2544763,7270.751428571429,0.5573607329665489
University of Colorado Boulder,CO,NCAA D1 (FBS),2024,372,1872538,5033.704301075269,13738845,36932.37903225807,1.3988983070747232
Colorado Christian University,CO,NCAA D2,2024,237,40707,171.7594936708861,2015462,8504.059071729958,1.3679908157526202
Colorado College,CO,NCAA D3,2024,356,246522,692.4775280898876,2415997,6786.508426966292,6.127196773264189
Colorado Mountain College,CO,2-Year (JUCO),2024,15,624,41.6,0,0.0,4.368728121353559
Colorado Northwestern Community College,CO,2-Year (JUCO),2024,133,33337,250.65413533834587,511950,3849.248120300752,26.323071389091165
Colorado School of Mines,CO,NCAA D2,2024,524,235286,449.01908396946567,5444981,10391.185114503816,3.5762447235951655
Colorado State University-Fort Collins,CO,NCAA D1 (FBS),2024,375,1258088,3354.9013333333332,10878748,29009.994666666666,0.9323483293605876
University of Denver,CO,NCAA D1 (No Football),2024,371,520671,1403.4258760107816,15955076,43005.59568733154,1.7945614388063231
Fort Lewis College,CO,NCAA D2,2024,370,105228,284.4,2699231,7295.218918918919,2.265124213427929
Lamar Community College,CO,2-Year (JUCO),2024,172,39705,230.84302325581396,764332,4443.790697674419,24.24255786817183
Colorado Mesa University,CO,NCAA D2,2024,831,182715,219.8736462093863,4157954,5003.554753309266,1.7511994371433435
Metropolitan State University of Denver,CO,NCAA D2,2024,268,36386,135.76865671641792,2548135,9507.966417910447,1.0813392115082372
Northeastern Junior College,CO,2-Year (JUCO),2024,187,3385,18.101604278074866,634926,3395.3262032085563,1.900985280077874
University of Northern Colorado,CO,NCAA D1 (FCS),2024,445,253341,569.3056179775281,7100101,15955.283146067415,0.8076710249839822
Otero College,CO,2-Year (JUCO),2024,222,30000,135.13513513513513,1678925,7562.725225225226,14.191554448263899
Regis University,CO,NCAA D2,2024,250,34368,137.472,1933045,7732.18,1.094905611351492
Colorado State University Pueblo,CO,NCAA D2,2024,455,92632,203.58681318681317,3463205,7611.43956043956,1.6214817865122324
Trinidad State College,CO,2-Year (JUCO),2024,183,29112,159.08196721311475,1341829,7332.398907103825,16.706390955869693
Western Colorado University,CO,NCAA D2,2024,460,108799,236.51956521739132,2307129,5015.497826086957,1.8837770538796037
Albertus Magnus College,CT,NCAA D3,2024,274,46298,168.97080291970804,0,0.0,1.4950916331989679
University of Bridgeport,CT,NCAA D2,2024,308,19545,63.45779220779221,3174410,10306.525974025973,0.5054141408598745
Central Connecticut State University,CT,NCAA D1 (FCS),2024,431,79214,183.79118329466357,4331615,10050.150812064965,0.2607436299714845
Connecticut College,CT,NCAA D3,2024,622,134623,216.43569131832797,0,0.0,1.9150716314547638
University of Connecticut,CT,NCAA D1 (FBS),2024,589,2024354,3436.9337860780984,14377304,24409.684210526317,0.9551456675445819
Eastern Connecticut State University,CT,NCAA D3,2024,377,12516,33.19893899204244,0,0.0,0.2937516722440594
Fairfield University,CT,NCAA D1 (No Football),2024,505,345393,683.9465346534654,9891226,19586.58613861386,0.8745628096748106
University of Hartford,CT,NCAA D3,2024,341,48995,143.68035190615836,261943,768.1612903225806,1.2713160396832417
Mitchell College,CT,NCAA D3,2024,158,11887,75.23417721518987,0,0.0,0.6656889056654852
University of New Haven,CT,NCAA D2,2024,566,97965,173.08303886925796,5122480,9050.318021201414,1.3785322864853855
Post University,CT,NCAA D2,2024,375,89363,238.30133333333333,3424140,9131.04,1.8979680739293017
Quinnipiac University,CT,NCAA D1 (No Football),2024,476,346955,728.8970588235294,14679756,30839.823529411766,0.9320410696303858
Sacred Heart University,CT,NCAA D1 (FCS),2024,1117,356798,319.42524619516564,15679229,14036.910474485228,0.45316699476237005
University of Saint Joseph,CT,NCAA D3,2024,308,14533,47.185064935064936,0,0.0,0.41750405737189883
Southern Connecticut State University,CT,NCAA D2,2024,519,34262,66.01541425818883,2652628,5111.036608863198,0.525784505259138
Trinity College,CT,NCAA D3,2024,741,106038,143.1012145748988,0,0.0,1.2661917024398968
Wesleyan University,CT,NCAA D3,2024,745,119005,159.73825503355704,0,0.0,1.4133999748818067
Western Connecticut State University,CT,NCAA D3,2024,526,8604,16.3574144486692,0,0.0,0.14473407867153365
Yale University,CT,NCAA D1 (FCS),2024,936,1390704,1485.7948717948718,0,0.0,2.107889732902437
Delaware Technical Community College-Terry,DE,2-Year (JUCO),2024,116,13133,113.21551724137932,136860,1179.8275862068965,11.889610912163523
Delaware State University,DE,NCAA D1 (FCS),2024,412,150875,366.2014563106796,5778218,14024.800970873786,0.5195281694563365
University of Delaware,DE,NCAA D1 (FCS),2024,627,678147,1081.5741626794259,16729180,26681.307814992026,1.534423840170089
Goldey-Beacom College,DE,NCAA D2,2024,269,22751,84.57620817843866,1482976,5512.921933085502,0.6736132806782794
Wilmington University,DE,NCAA D2,2024,314,28522,90.8343949044586,1425786,4540.71974522293,0.723457058052615
American University,DC,NCAA D1 (No Football),2024,298,212390,712.7181208053692,7111393,23863.734899328858,0.9113530526965973
The Catholic University of America,DC,NCAA D3,2024,673,79463,118.07280832095097,0,0.0,1.0447347398404865
University of the District of Columbia,DC,NCAA D2,2024,105,500,4.761904761904762,1882062,17924.4,0.03792653227225117
Gallaudet University,DC,NCAA D3,2024,235,26559,113.01702127659574,0,0.0,1.0
George Washington University,DC,NCAA D1 (No Football),2024,420,531522,1265.5285714285715,14163242,33722.00476190476,1.618232079665546
Georgetown University,DC,NCAA D1 (FCS),2024,774,371142,479.51162790697674,12637610,16327.66149870801,0.6802807416150476
Howard University,DC,NCAA D1 (FCS),2024,465,68618,147.56559139784946,9828459,21136.470967741934,0.20935056442982983
Trinity Washington University,DC,NCAA D3,2024,49,0,0.0,0,0.0,0.0
Barry University,FL,NCAA D2,2024,394,43451,110.28172588832487,4658073,11822.520304568528,0.8783467215480533
Bethune-Cookman University,FL,NCAA D1 (FCS),2024,345,208638,604.7478260869565,2956642,8569.976811594202,0.8579527078753806
Lynn University,FL,NCAA D2,2024,407,28911,71.03439803439804,5597416,13752.864864864865,0.5657585617932218
Eastern Florida State College,FL,2-Year (JUCO),2024,195,122467,628.0358974358975,1608632,8249.394871794872,65.95476169105108
College of Central Florida,FL,2-Year (JUCO),2024,64,0,0.0,127011,1984.546875,0.0
University of Central Florida,FL,NCAA D1 (FBS),2024,423,2226660,5263.9716312056735,12043176,28470.86524822695,1.462891056554511
Chipola College,FL,2-Year (JUCO),2024,87,31009,356.42528735632186,1013424,11648.551724137931,37.43089365468958
Daytona State College,FL,2-Year (JUCO),2024,241,11190,46.43153526970954,2141912,8887.601659751037,4.876123890634608
Eckerd College,FL,NCAA D2,2024,230,56645,246.2826086956522,3942648,17141.94782608696,1.9615355144258706
Florida SouthWestern State College,FL,2-Year (JUCO),2024,89,19890,223.48314606741573,740387,8318.955056179775,23.46964194406933
Edward Waters University,FL,NCAA D2,2024,397,0,0.0,2090087,5264.702770780857,0.0
Embry-Riddle Aeronautical University-Daytona Beach,FL,NCAA D2,2024,529,41780,78.97920604914934,6534931,12353.366729678639,0.6290355554825658
Florida Agricultural and Mechanical University,FL,NCAA D1 (FCS),2024,314,20000,63.69426751592356,4100593,13059.213375796178,0.0903627378787268
Florida Atlantic University,FL,NCAA D1 (FBS),2024,444,821431,1850.0698198198197,8264758,18614.31981981982,0.5141461206537576
Florida State College at Jacksonville,FL,2-Year (JUCO),2024,115,1974,17.16521739130435,395278,3437.2,1.8026482674648674
Flagler College,FL,NCAA D2,2024,392,76034,193.96428571428572,4919249,12549.104591836734,1.544842475779471
Florida College,FL,NAIA,2024,124,6278,50.62903225806452,637738,5143.048387096775,0.8106692111116798
Florida Institute of Technology,FL,NCAA D2,2024,358,86271,240.9804469273743,5214882,14566.709497206704,1.9193060664482402
Florida International University,FL,Other,2024,441,951508,2157.6145124716554,8398382,19043.950113378683,inf
The College of the Florida Keys,FL,2-Year (JUCO),2024,7,0,0.0,0,0.0,0.0
Florida Memorial University,FL,NAIA,2024,322,49525,153.80434782608697,2162900,6717.080745341615,2.4627065491234976
Florida Southern College,FL,NCAA D2,2024,495,53615,108.31313131313131,5174647,10453.832323232324,0.8626677087537713
Florida State University,FL,NCAA D1 (FBS),2024,476,2547845,5352.615546218487,7831248,16452.201680672268,1.487525761977595
University of Florida,FL,NCAA D1 (FBS),2024,555,4400799,7929.367567567568,16295859,29361.90810810811,2.2036214689992817
Full Sail University,FL,Other,2024,103,0,0.0,0,0.0,
Gulf Coast State College,FL,2-Year (JUCO),2024,97,24745,255.10309278350516,1450891,14957.639175257733,26.79028979056647
Hillsborough Community College,FL,2-Year (JUCO),2024,103,2625,25.485436893203882,717740,6968.349514563107,2.676416943276954
Indian River State College,FL,2-Year (JUCO),2024,125,6497,51.976,1014953,8119.624,5.458389731621937
Jacksonville University,FL,NCAA D1 (No Football),2024,475,242642,510.8252631578947,7400606,15580.223157894738,0.6531925446871323
Keiser University-Ft Lauderdale,FL,NAIA,2024,764,36618,47.92931937172775,9370338,12264.840314136125,0.7674415605289243
Florida Gateway College,FL,2-Year (JUCO),2024,71,3221,45.36619718309859,115500,1626.7605633802816,4.764244745016188
Lake-Sumter State College,FL,2-Year (JUCO),2024,133,402,3.0225563909774436,455452,3424.4511278195487,0.3174213246067327
State College of Florida-Manatee-Sarasota,FL,2-Year (JUCO),2024,67,5157,76.97014925373135,332937,4969.20895522388,8.083212873787422
Miami Dade College,FL,2-Year (JUCO),2024,159,5388,33.886792452830186,1238836,7791.421383647798,3.5587063252680475
University of Miami,FL,NCAA D1 (FBS),2024,438,6478885,14791.97488584475,20583519,46994.33561643836,4.1107835082167705
University of North Florida,FL,NCAA D1 (No Football),2024,325,193396,595.0646153846154,3695414,11370.504615384616,0.7609094506670924
Nova Southeastern University,FL,NCAA D2,2024,304,47933,157.67434210526315,4554263,14981.128289473685,1.2558086151158594
Northwest Florida State College,FL,2-Year (JUCO),2024,73,37304,511.013698630137,1610820,22066.027397260274,53.665382586595484
Palm Beach Atlantic University,FL,NCAA D2,2024,364,70217,192.90384615384616,4142878,11381.532967032967,1.5363965287849966
Palm Beach State College,FL,2-Year (JUCO),2024,82,5214,63.58536585365854,695867,8486.182926829268,6.677576344024817
Pasco-Hernando State College,FL,2-Year (JUCO),2024,114,0,0.0,417224,3659.8596491228072,0.0
Pensacola State College,FL,2-Year (JUCO),2024,151,1362,9.019867549668874,1034848,6853.298013245033,0.9472439667096834
Polk State College,FL,2-Year (JUCO),2024,93,3350,36.02150537634409,636808,6847.397849462365,3.7828885459404527
Rollins College,FL,NCAA D2,2024,496,107339,216.40927419354838,5769296,11631.645161290322,1.7236071975603737
Saint Leo University,FL,NCAA D2,2024,519,35391,68.1907514450867,3074662,5924.204238921002,0.5431101344237392
St Petersburg College,FL,2-Year (JUCO),2024,96,0,0.0,914887,9530.072916666666,0.0
Santa Fe College,FL,2-Year (JUCO),2024,88,218,2.477272727272727,510447,5800.534090909091,0.2601569958629468
Seminole State College of Florida,FL,2-Year (JUCO),2024,77,0,0.0,368632,4787.428571428572,0.0
Saint Johns River State College,FL,2-Year (JUCO),2024,70,5201,74.3,454274,6489.628571428571,7.802800466744457
South Florida State College,FL,2-Year (JUCO),2024,61,977,16.016393442622952,56857,932.0819672131148,1.6820016450829238
University of South Florida,FL,NCAA D1 (FBS),2024,518,2987134,5766.667953667954,9370921,18090.58108108108,1.602593548477796
St. Thomas University,FL,NAIA,2024,809,117151,144.8096415327565,6027572,7450.645241038319,2.3186838188878434
Stetson University,FL,NCAA D1 (FCS),2024,495,280139,565.9373737373737,8432310,17034.969696969696,0.802892513773244
Southeastern University,FL,NAIA,2024,469,52448,111.82942430703625,4531207,9661.422174840085,1.7906064394035104
Tallahassee State College,FL,2-Year (JUCO),2024,85,18000,211.76470588235293,1189283,13991.564705882352,22.239000617750015
The University of Tampa,FL,NCAA D2,2024,553,181701,328.57323688969257,5681607,10274.153707052441,2.6169451292659405
Trinity Baptist College,FL,Other,2024,153,0,0.0,0,0.0,
Trinity College of Florida,FL,Other,2024,35,0,0.0,0,0.0,
Warner University,FL,NAIA,2024,504,16173,32.089285714285715,228874,454.11507936507934,0.5138118343353018
Webber International University,FL,NAIA,2024,348,33768,97.03448275862068,6301032,18106.41379310345,1.5537106691592153
University of West Florida,FL,NCAA D2,2024,398,84064,211.21608040201005,2999169,7535.600502512563,1.682245632854899
Abraham Baldwin Agricultural College,GA,NAIA,2024,181,344,1.9005524861878453,133655,738.4254143646409,0.03043153929549634
